,ResultsFK,X,TransactionTime,BlockIDResourceID
134,1,0.027777777777777776,19.0,L0 Gate Lounge 1_Gate_Lounge_08
135,1,0.03125,22.0,L0 Gate Lounge 1_Gate_Lounge_11
136,1,0.03125,43.0,L0 Gate Lounge 1_Gate_Lounge_01
137,1,0.03125,54.0,L0 Gate Lounge 1_Gate_Lounge_04
138,1,0.03125,6.0,L0 Gate Lounge 1_Gate_Lounge_15
139,1,0.03125,20.0,L0 Gate Lounge 1_Gate_Lounge_12
140,1,0.03125,16.0,L0 Gate Lounge 1_Gate_Lounge_13
141,1,0.03125,20.0,L0 Gate Lounge 1_Gate_Lounge_14
142,1,0.03125,23.0,L0 Gate Lounge 1_Gate_Lounge_06
143,1,0.03125,28.0,L0 Gate Lounge 1_Gate_Lounge_03
144,1,0.03125,35.0,L0 Gate Lounge 1_Gate_Lounge_09
145,1,0.03125,20.0,L0 Gate Lounge 1_Gate_Lounge_10
146,1,0.03125,24.0,L0 Gate Lounge 1_Gate_Lounge_05
147,1,0.03125,46.0,L0 Gate Lounge 1_Gate_Lounge_02
148,1,0.03125,23.0,L0 Gate Lounge 1_Gate_Lounge_07
149,1,0.03125,30.0,L0 Gate Lounge 1_Gate_Lounge_08
150,1,0.034722222222222224,33.0,L0 Gate Lounge 1_Gate_Lounge_11
151,1,0.034722222222222224,59.0,L0 Gate Lounge 1_Gate_Lounge_01
152,1,0.034722222222222224,61.0,L0 Gate Lounge 1_Gate_Lounge_04
153,1,0.034722222222222224,16.0,L0 Gate Lounge 1_Gate_Lounge_15
154,1,0.034722222222222224,27.0,L0 Gate Lounge 1_Gate_Lounge_12
155,1,0.034722222222222224,22.0,L0 Gate Lounge 1_Gate_Lounge_13
156,1,0.034722222222222224,24.0,L0 Gate Lounge 1_Gate_Lounge_14
157,1,0.034722222222222224,31.0,L0 Gate Lounge 1_Gate_Lounge_06
158,1,0.034722222222222224,37.0,L0 Gate Lounge 1_Gate_Lounge_03
159,1,0.034722222222222224,27.0,L0 Gate Lounge 1_Gate_Lounge_09
160,1,0.034722222222222224,26.0,L0 Gate Lounge 1_Gate_Lounge_10
161,1,0.034722222222222224,36.0,L0 Gate Lounge 1_Gate_Lounge_05
