,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
135,1,44013.04513888889,12.0,2268.0,L0 Security Control 1_Common Usage_9
136,1,44013.04513888889,12.0,44.0,L0 Security Control 1_Common Usage_7
137,1,44013.04513888889,,,L0 Security Control 1_Common Usage_5
138,1,44013.04513888889,12.0,144.0,L0 Security Control 1_Common Usage_8
139,1,44013.04513888889,,,L0 Security Control 1_Common Usage_3
140,1,44013.04513888889,,,L0 Security Control 1_Common Usage_6
141,1,44013.04513888889,,,L0 Security Control 1_Common Usage_2
142,1,44013.04513888889,,,L0 Security Control 1_Common Usage_4
143,1,44013.04513888889,,,L0 Security Control 1_Common Usage_1
144,1,44013.04861111111,12.0,2268.0,L0 Security Control 1_Common Usage_9
145,1,44013.04861111111,12.0,44.0,L0 Security Control 1_Common Usage_7
146,1,44013.04861111111,,,L0 Security Control 1_Common Usage_5
147,1,44013.04861111111,11.0,144.0,L0 Security Control 1_Common Usage_8
148,1,44013.04861111111,,,L0 Security Control 1_Common Usage_3
149,1,44013.04861111111,,,L0 Security Control 1_Common Usage_6
150,1,44013.04861111111,,,L0 Security Control 1_Common Usage_2
151,1,44013.04861111111,,,L0 Security Control 1_Common Usage_4
152,1,44013.04861111111,,,L0 Security Control 1_Common Usage_1
153,1,44013.052083333336,10.0,2268.0,L0 Security Control 1_Common Usage_9
154,1,44013.052083333336,11.0,44.0,L0 Security Control 1_Common Usage_7
155,1,44013.052083333336,,,L0 Security Control 1_Common Usage_5
156,1,44013.052083333336,10.0,144.0,L0 Security Control 1_Common Usage_8
157,1,44013.052083333336,,,L0 Security Control 1_Common Usage_3
158,1,44013.052083333336,,,L0 Security Control 1_Common Usage_6
159,1,44013.052083333336,,,L0 Security Control 1_Common Usage_2
160,1,44013.052083333336,,,L0 Security Control 1_Common Usage_4
161,1,44013.052083333336,,,L0 Security Control 1_Common Usage_1
162,1,44013.055555555555,10.0,2268.0,L0 Security Control 1_Common Usage_9
163,1,44013.055555555555,9.0,44.0,L0 Security Control 1_Common Usage_7
164,1,44013.055555555555,,,L0 Security Control 1_Common Usage_5
165,1,44013.055555555555,9.0,144.0,L0 Security Control 1_Common Usage_8
