,ResultsFK,Time,TStartWait,_ImmigrationType
300,1,44013.555555555555,71,Automatic
301,1,44013.555555555555,337,Normal
302,1,44013.55902777778,71,Automatic
303,1,44013.55902777778,337,Normal
304,1,44013.5625,90,Automatic
305,1,44013.5625,428,Normal
306,1,44013.56597222222,90,Automatic
307,1,44013.56597222222,428,Normal
308,1,44013.569444444445,90,Automatic
309,1,44013.569444444445,428,Normal
310,1,44013.572916666664,67,Automatic
311,1,44013.572916666664,317,Normal
312,1,44013.57638888889,101,Automatic
313,1,44013.57638888889,465,Normal
314,1,44013.57986111111,101,Automatic
315,1,44013.57986111111,465,Normal
316,1,44013.583333333336,101,Automatic
317,1,44013.583333333336,465,Normal
318,1,44013.586805555555,84,Automatic
319,1,44013.586805555555,404,Normal
320,1,44013.59027777778,53,Automatic
321,1,44013.59027777778,239,Normal
322,1,44013.59375,53,Automatic
323,1,44013.59375,239,Normal
324,1,44013.59722222222,53,Automatic
325,1,44013.59722222222,239,Normal
326,1,44013.600694444445,53,Automatic
327,1,44013.600694444445,239,Normal
328,1,44013.604166666664,34,Automatic
329,1,44013.604166666664,148,Normal
330,1,44013.60763888889,34,Automatic
331,1,44013.60763888889,148,Normal
332,1,44013.61111111111,34,Automatic
333,1,44013.61111111111,148,Normal
334,1,44013.614583333336,34,Automatic
335,1,44013.614583333336,148,Normal
336,1,44013.618055555555,0,Automatic
337,1,44013.618055555555,0,Normal
338,1,44013.62152777778,0,Automatic
339,1,44013.62152777778,0,Normal
340,1,44013.625,0,Automatic
341,1,44013.625,0,Normal
342,1,44013.62847222222,0,Automatic
343,1,44013.62847222222,0,Normal
344,1,44013.631944444445,19,Automatic
345,1,44013.631944444445,95,Normal
346,1,44013.635416666664,19,Automatic
347,1,44013.635416666664,95,Normal
348,1,44013.63888888889,19,Automatic
349,1,44013.63888888889,95,Normal
350,1,44013.64236111111,19,Automatic
351,1,44013.64236111111,95,Normal
352,1,44013.645833333336,19,Automatic
353,1,44013.645833333336,95,Normal
354,1,44013.649305555555,19,Automatic
355,1,44013.649305555555,95,Normal
356,1,44013.65277777778,19,Automatic
357,1,44013.65277777778,95,Normal
358,1,44013.65625,19,Automatic
359,1,44013.65625,95,Normal
360,1,44013.65972222222,19,Automatic
361,1,44013.65972222222,95,Normal
362,1,44013.663194444445,19,Automatic
363,1,44013.663194444445,95,Normal
364,1,44013.666666666664,19,Automatic
365,1,44013.666666666664,95,Normal
366,1,44013.67013888889,19,Automatic
367,1,44013.67013888889,95,Normal
368,1,44013.67361111111,0,Automatic
369,1,44013.67361111111,0,Normal
370,1,44013.677083333336,0,Automatic
371,1,44013.677083333336,0,Normal
372,1,44013.680555555555,0,Automatic
373,1,44013.680555555555,0,Normal
374,1,44013.68402777778,0,Automatic
375,1,44013.68402777778,0,Normal
376,1,44013.6875,0,Automatic
377,1,44013.6875,0,Normal
378,1,44013.69097222222,0,Automatic
379,1,44013.69097222222,0,Normal
380,1,44013.694444444445,0,Automatic
381,1,44013.694444444445,0,Normal
382,1,44013.697916666664,0,Automatic
383,1,44013.697916666664,0,Normal
384,1,44013.70138888889,0,Automatic
385,1,44013.70138888889,0,Normal
386,1,44013.70486111111,24,Automatic
387,1,44013.70486111111,110,Normal
388,1,44013.708333333336,24,Automatic
389,1,44013.708333333336,110,Normal
390,1,44013.711805555555,24,Automatic
391,1,44013.711805555555,110,Normal
392,1,44013.71527777778,24,Automatic
393,1,44013.71527777778,110,Normal
394,1,44013.71875,24,Automatic
395,1,44013.71875,110,Normal
396,1,44013.72222222222,24,Automatic
397,1,44013.72222222222,110,Normal
398,1,44013.725694444445,24,Automatic
399,1,44013.725694444445,110,Normal
400,1,44013.729166666664,24,Automatic
401,1,44013.729166666664,110,Normal
402,1,44013.73263888889,24,Automatic
403,1,44013.73263888889,110,Normal
404,1,44013.73611111111,24,Automatic
405,1,44013.73611111111,110,Normal
406,1,44013.739583333336,24,Automatic
407,1,44013.739583333336,110,Normal
408,1,44013.743055555555,24,Automatic
409,1,44013.743055555555,110,Normal
410,1,44013.74652777778,0,Automatic
411,1,44013.74652777778,0,Normal
412,1,44013.75,0,Automatic
413,1,44013.75,0,Normal
414,1,44013.75347222222,0,Automatic
415,1,44013.75347222222,0,Normal
416,1,44013.756944444445,0,Automatic
417,1,44013.756944444445,0,Normal
418,1,44013.760416666664,0,Automatic
419,1,44013.760416666664,0,Normal
420,1,44013.76388888889,0,Automatic
421,1,44013.76388888889,0,Normal
422,1,44013.76736111111,0,Automatic
423,1,44013.76736111111,0,Normal
424,1,44013.770833333336,0,Automatic
425,1,44013.770833333336,0,Normal
426,1,44013.774305555555,0,Automatic
427,1,44013.774305555555,0,Normal
428,1,44013.77777777778,0,Automatic
429,1,44013.77777777778,0,Normal
430,1,44013.78125,0,Automatic
431,1,44013.78125,0,Normal
432,1,44013.78472222222,0,Automatic
433,1,44013.78472222222,0,Normal
434,1,44013.788194444445,12,Automatic
435,1,44013.788194444445,72,Normal
436,1,44013.791666666664,12,Automatic
437,1,44013.791666666664,72,Normal
438,1,44013.79513888889,12,Automatic
439,1,44013.79513888889,72,Normal
440,1,44013.79861111111,12,Automatic
441,1,44013.79861111111,72,Normal
442,1,44013.802083333336,12,Automatic
443,1,44013.802083333336,72,Normal
444,1,44013.805555555555,12,Automatic
445,1,44013.805555555555,72,Normal
446,1,44013.80902777778,12,Automatic
447,1,44013.80902777778,72,Normal
448,1,44013.8125,12,Automatic
449,1,44013.8125,72,Normal
450,1,44013.81597222222,12,Automatic
451,1,44013.81597222222,72,Normal
452,1,44013.819444444445,12,Automatic
453,1,44013.819444444445,72,Normal
454,1,44013.822916666664,12,Automatic
455,1,44013.822916666664,72,Normal
456,1,44013.82638888889,12,Automatic
457,1,44013.82638888889,72,Normal
458,1,44013.82986111111,0,Automatic
459,1,44013.82986111111,0,Normal
460,1,44013.833333333336,0,Automatic
461,1,44013.833333333336,0,Normal
462,1,44013.836805555555,0,Automatic
463,1,44013.836805555555,0,Normal
464,1,44013.84027777778,0,Automatic
465,1,44013.84027777778,0,Normal
466,1,44013.84375,0,Automatic
467,1,44013.84375,0,Normal
468,1,44013.84722222222,0,Automatic
469,1,44013.84722222222,0,Normal
470,1,44013.850694444445,0,Automatic
471,1,44013.850694444445,0,Normal
472,1,44013.854166666664,0,Automatic
473,1,44013.854166666664,0,Normal
474,1,44013.85763888889,0,Automatic
475,1,44013.85763888889,0,Normal
476,1,44013.86111111111,0,Automatic
477,1,44013.86111111111,0,Normal
478,1,44013.864583333336,0,Automatic
479,1,44013.864583333336,0,Normal
480,1,44013.868055555555,0,Automatic
481,1,44013.868055555555,0,Normal
482,1,44013.87152777778,0,Automatic
483,1,44013.87152777778,0,Normal
484,1,44013.875,0,Automatic
485,1,44013.875,0,Normal
486,1,44013.87847222222,0,Automatic
487,1,44013.87847222222,0,Normal
488,1,44013.881944444445,0,Automatic
489,1,44013.881944444445,0,Normal
490,1,44013.885416666664,0,Automatic
491,1,44013.885416666664,0,Normal
492,1,44013.88888888889,0,Automatic
493,1,44013.88888888889,0,Normal
494,1,44013.89236111111,0,Automatic
495,1,44013.89236111111,0,Normal
496,1,44013.895833333336,0,Automatic
497,1,44013.895833333336,0,Normal
498,1,44013.899305555555,0,Automatic
499,1,44013.899305555555,0,Normal
500,1,44013.90277777778,27,Automatic
501,1,44013.90277777778,93,Normal
502,1,44013.90625,27,Automatic
503,1,44013.90625,93,Normal
504,1,44013.90972222222,27,Automatic
505,1,44013.90972222222,93,Normal
506,1,44013.913194444445,27,Automatic
507,1,44013.913194444445,93,Normal
508,1,44013.916666666664,27,Automatic
509,1,44013.916666666664,93,Normal
510,1,44013.92013888889,27,Automatic
511,1,44013.92013888889,93,Normal
512,1,44013.92361111111,27,Automatic
513,1,44013.92361111111,93,Normal
514,1,44013.927083333336,27,Automatic
515,1,44013.927083333336,93,Normal
516,1,44013.930555555555,27,Automatic
517,1,44013.930555555555,93,Normal
518,1,44013.93402777778,27,Automatic
519,1,44013.93402777778,93,Normal
520,1,44013.9375,27,Automatic
521,1,44013.9375,93,Normal
522,1,44013.94097222222,27,Automatic
523,1,44013.94097222222,93,Normal
