,ResultsFK,Time,CustomColumnID_OutboundFlight_PaxCount
129,1,44013.506944444445,165
130,1,44013.510416666664,329
131,1,44013.51388888889,329
132,1,44013.51736111111,384
133,1,44013.520833333336,517
134,1,44013.524305555555,517
135,1,44013.52777777778,576
136,1,44013.53125,576
137,1,44013.53472222222,576
138,1,44013.538194444445,490
139,1,44013.541666666664,490
140,1,44013.54513888889,443
141,1,44013.54861111111,411
142,1,44013.552083333336,247
143,1,44013.555555555555,295
144,1,44013.55902777778,284
145,1,44013.5625,151
146,1,44013.56597222222,263
147,1,44013.569444444445,204
148,1,44013.572916666664,428
149,1,44013.57638888889,590
150,1,44013.57986111111,738
151,1,44013.583333333336,1084
152,1,44013.586805555555,1084
153,1,44013.59027777778,1084
154,1,44013.59375,1170
155,1,44013.59722222222,1122
156,1,44013.600694444445,1240
157,1,44013.604166666664,1240
158,1,44013.60763888889,1128
159,1,44013.61111111111,1128
160,1,44013.614583333336,904
161,1,44013.618055555555,742
162,1,44013.62152777778,783
163,1,44013.625,437
164,1,44013.62847222222,437
165,1,44013.631944444445,437
166,1,44013.635416666664,421
167,1,44013.63888888889,421
168,1,44013.64236111111,305
169,1,44013.645833333336,305
170,1,44013.649305555555,305
171,1,44013.65277777778,305
172,1,44013.65625,305
173,1,44013.65972222222,305
174,1,44013.663194444445,239
175,1,44013.666666666664,300
176,1,44013.67013888889,469
177,1,44013.67361111111,625
178,1,44013.677083333336,555
179,1,44013.680555555555,555
180,1,44013.68402777778,509
181,1,44013.6875,651
182,1,44013.69097222222,678
183,1,44013.694444444445,678
184,1,44013.697916666664,678
185,1,44013.70138888889,678
186,1,44013.70486111111,555
187,1,44013.708333333336,530
188,1,44013.711805555555,361
189,1,44013.71527777778,205
190,1,44013.71875,309
191,1,44013.72222222222,309
192,1,44013.725694444445,309
193,1,44013.729166666664,250
194,1,44013.73263888889,366
195,1,44013.73611111111,435
196,1,44013.739583333336,435
197,1,44013.743055555555,435
198,1,44013.74652777778,683
199,1,44013.75,647
200,1,44013.75347222222,797
201,1,44013.756944444445,921
202,1,44013.760416666664,817
203,1,44013.76388888889,910
204,1,44013.76736111111,910
205,1,44013.770833333336,827
206,1,44013.774305555555,684
207,1,44013.77777777778,903
208,1,44013.78125,903
209,1,44013.78472222222,903
210,1,44013.788194444445,655
211,1,44013.791666666664,1010
212,1,44013.79513888889,860
213,1,44013.79861111111,736
214,1,44013.802083333336,805
215,1,44013.805555555555,712
216,1,44013.80902777778,712
217,1,44013.8125,753
218,1,44013.81597222222,753
219,1,44013.819444444445,465
220,1,44013.822916666664,465
221,1,44013.82638888889,576
222,1,44013.82986111111,834
223,1,44013.833333333336,489
224,1,44013.836805555555,489
225,1,44013.84027777778,489
226,1,44013.84375,440
227,1,44013.84722222222,440
228,1,44013.850694444445,440
229,1,44013.854166666664,399
230,1,44013.85763888889,399
231,1,44013.86111111111,399
232,1,44013.864583333336,399
233,1,44013.868055555555,288
234,1,44013.87152777778,30
235,1,44013.875,20
236,1,44013.87847222222,20
237,1,44013.881944444445,20
