,ResultsFK,Time,Time_1,FacilityStates,_ImmigrationType
167,1,44013.163194444445,2,Closed,Automatic
168,1,44013.166666666664,0,In Use,Normal
169,1,44013.166666666664,0,Idle,Normal
170,1,44013.166666666664,0,Idle,Automatic
171,1,44013.166666666664,10,Closed,Normal
172,1,44013.166666666664,0,In Use,Automatic
173,1,44013.166666666664,2,Closed,Automatic
174,1,44013.17013888889,0,In Use,Normal
175,1,44013.17013888889,0,Idle,Normal
176,1,44013.17013888889,0,Idle,Automatic
177,1,44013.17013888889,10,Closed,Normal
178,1,44013.17013888889,0,In Use,Automatic
179,1,44013.17013888889,2,Closed,Automatic
180,1,44013.17361111111,0,In Use,Normal
181,1,44013.17361111111,0,Idle,Normal
182,1,44013.17361111111,0,Idle,Automatic
183,1,44013.17361111111,10,Closed,Normal
184,1,44013.17361111111,0,In Use,Automatic
185,1,44013.17361111111,2,Closed,Automatic
186,1,44013.177083333336,0,In Use,Normal
187,1,44013.177083333336,0,Idle,Normal
188,1,44013.177083333336,0,Idle,Automatic
189,1,44013.177083333336,10,Closed,Normal
190,1,44013.177083333336,0,In Use,Automatic
191,1,44013.177083333336,2,Closed,Automatic
192,1,44013.180555555555,0,In Use,Normal
193,1,44013.180555555555,0,Idle,Normal
194,1,44013.180555555555,0,Idle,Automatic
195,1,44013.180555555555,10,Closed,Normal
196,1,44013.180555555555,0,In Use,Automatic
197,1,44013.180555555555,2,Closed,Automatic
198,1,44013.18402777778,0,In Use,Normal
199,1,44013.18402777778,0,Idle,Normal
200,1,44013.18402777778,0,Idle,Automatic
201,1,44013.18402777778,10,Closed,Normal
202,1,44013.18402777778,0,In Use,Automatic
203,1,44013.18402777778,2,Closed,Automatic
204,1,44013.1875,0,In Use,Normal
205,1,44013.1875,0,Idle,Normal
206,1,44013.1875,0,Idle,Automatic
207,1,44013.1875,10,Closed,Normal
208,1,44013.1875,0,In Use,Automatic
209,1,44013.1875,2,Closed,Automatic
210,1,44013.19097222222,0,In Use,Normal
211,1,44013.19097222222,0,Idle,Normal
212,1,44013.19097222222,0,Idle,Automatic
213,1,44013.19097222222,10,Closed,Normal
214,1,44013.19097222222,0,In Use,Automatic
215,1,44013.19097222222,2,Closed,Automatic
216,1,44013.194444444445,0,In Use,Normal
217,1,44013.194444444445,0,Idle,Normal
218,1,44013.194444444445,0,Idle,Automatic
219,1,44013.194444444445,10,Closed,Normal
220,1,44013.194444444445,0,In Use,Automatic
221,1,44013.194444444445,2,Closed,Automatic
222,1,44013.197916666664,0,In Use,Normal
223,1,44013.197916666664,0,Idle,Normal
224,1,44013.197916666664,0,Idle,Automatic
225,1,44013.197916666664,10,Closed,Normal
226,1,44013.197916666664,0,In Use,Automatic
227,1,44013.197916666664,2,Closed,Automatic
228,1,44013.20138888889,0,In Use,Normal
229,1,44013.20138888889,0,Idle,Normal
230,1,44013.20138888889,0,Idle,Automatic
231,1,44013.20138888889,10,Closed,Normal
232,1,44013.20138888889,0,In Use,Automatic
233,1,44013.20138888889,2,Closed,Automatic
234,1,44013.20486111111,0,In Use,Normal
235,1,44013.20486111111,0,Idle,Normal
236,1,44013.20486111111,0,Idle,Automatic
237,1,44013.20486111111,10,Closed,Normal
238,1,44013.20486111111,0,In Use,Automatic
239,1,44013.20486111111,2,Closed,Automatic
240,1,44013.208333333336,0,In Use,Normal
241,1,44013.208333333336,0,Idle,Normal
242,1,44013.208333333336,0,Idle,Automatic
243,1,44013.208333333336,10,Closed,Normal
244,1,44013.208333333336,0,In Use,Automatic
245,1,44013.208333333336,2,Closed,Automatic
246,1,44013.211805555555,0,In Use,Normal
247,1,44013.211805555555,0,Idle,Normal
248,1,44013.211805555555,0,Idle,Automatic
