ResultsFK,X,TransactionTime,BlockIDResourceID
1,0.041666666666666664,27.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.04513888888888889,27.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.04513888888888889,80.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.04513888888888889,62.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.04513888888888889,38.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.04513888888888889,32.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.04513888888888889,26.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.04513888888888889,20.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.04513888888888889,48.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.04513888888888889,49.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.04513888888888889,34.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.04513888888888889,29.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.04513888888888889,46.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.04513888888888889,55.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.04513888888888889,31.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.04513888888888889,29.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.04861111111111111,27.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.04861111111111111,60.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.04861111111111111,64.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.04861111111111111,37.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.04861111111111111,28.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.04861111111111111,24.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.04861111111111111,29.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.04861111111111111,36.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.04861111111111111,44.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.04861111111111111,36.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.04861111111111111,26.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.04861111111111111,54.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.04861111111111111,60.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.04861111111111111,36.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.04861111111111111,37.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.052083333333333336,31.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.052083333333333336,70.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.052083333333333336,58.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.052083333333333336,37.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.052083333333333336,34.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.052083333333333336,22.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.052083333333333336,33.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.052083333333333336,46.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.052083333333333336,47.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.052083333333333336,26.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.052083333333333336,29.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.052083333333333336,47.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.052083333333333336,60.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.052083333333333336,35.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.052083333333333336,31.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.05555555555555555,17.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.05555555555555555,83.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.05555555555555555,50.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.05555555555555555,32.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.05555555555555555,21.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.05555555555555555,34.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.05555555555555555,16.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.05555555555555555,25.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.05555555555555555,51.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.05555555555555555,32.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.05555555555555555,25.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.05555555555555555,48.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.05555555555555555,48.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.05555555555555555,28.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.05555555555555555,25.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.059027777777777776,31.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.059027777777777776,87.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.059027777777777776,57.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.059027777777777776,30.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.059027777777777776,22.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.059027777777777776,26.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.059027777777777776,21.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.059027777777777776,41.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.059027777777777776,53.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.059027777777777776,28.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.059027777777777776,15.0,L0 Gate Lounge 1_Gate_Lounge_10
1,0.059027777777777776,38.0,L0 Gate Lounge 1_Gate_Lounge_05
1,0.059027777777777776,61.0,L0 Gate Lounge 1_Gate_Lounge_02
1,0.059027777777777776,30.0,L0 Gate Lounge 1_Gate_Lounge_07
1,0.059027777777777776,31.0,L0 Gate Lounge 1_Gate_Lounge_08
1,0.0625,17.0,L0 Gate Lounge 1_Gate_Lounge_11
1,0.0625,62.0,L0 Gate Lounge 1_Gate_Lounge_01
1,0.0625,61.0,L0 Gate Lounge 1_Gate_Lounge_04
1,0.0625,23.0,L0 Gate Lounge 1_Gate_Lounge_15
1,0.0625,24.0,L0 Gate Lounge 1_Gate_Lounge_12
1,0.0625,20.0,L0 Gate Lounge 1_Gate_Lounge_13
1,0.0625,14.0,L0 Gate Lounge 1_Gate_Lounge_14
1,0.0625,35.0,L0 Gate Lounge 1_Gate_Lounge_06
1,0.0625,49.0,L0 Gate Lounge 1_Gate_Lounge_03
1,0.0625,30.0,L0 Gate Lounge 1_Gate_Lounge_09
1,0.0625,23.0,L0 Gate Lounge 1_Gate_Lounge_10
