,ResultsFK,Time,TStartTransact_TFinish
140,1,44013.479166666664,180.0
141,1,44013.48263888889,211.0
142,1,44013.48611111111,239.0
143,1,44013.489583333336,272.0
144,1,44013.493055555555,292.0
145,1,44013.49652777778,329.0
146,1,44013.5,369.0
147,1,44013.50347222222,412.0
148,1,44013.506944444445,458.0
149,1,44013.510416666664,487.0
150,1,44013.51388888889,532.0
151,1,44013.51736111111,579.0
152,1,44013.520833333336,619.0
153,1,44013.524305555555,658.0
154,1,44013.52777777778,664.0
155,1,44013.53125,659.0
156,1,44013.53472222222,661.0
157,1,44013.538194444445,664.0
158,1,44013.541666666664,666.0
159,1,44013.54513888889,627.0
160,1,44013.54861111111,632.0
161,1,44013.552083333336,632.0
162,1,44013.555555555555,620.0
163,1,44013.55902777778,670.0
164,1,44013.5625,721.0
165,1,44013.56597222222,816.0
166,1,44013.569444444445,903.0
167,1,44013.572916666664,994.0
168,1,44013.57638888889,1097.0
169,1,44013.57986111111,1169.0
170,1,44013.583333333336,1231.0
171,1,44013.586805555555,1261.0
172,1,44013.59027777778,1268.0
173,1,44013.59375,1326.0
174,1,44013.59722222222,1326.0
175,1,44013.600694444445,1303.0
176,1,44013.604166666664,1285.0
177,1,44013.60763888889,1188.0
178,1,44013.61111111111,1026.0
179,1,44013.614583333336,915.0
180,1,44013.618055555555,679.0
181,1,44013.62152777778,582.0
182,1,44013.625,583.0
183,1,44013.62847222222,564.0
184,1,44013.631944444445,562.0
185,1,44013.635416666664,511.0
186,1,44013.63888888889,501.0
187,1,44013.64236111111,540.0
188,1,44013.645833333336,582.0
189,1,44013.649305555555,624.0
190,1,44013.65277777778,625.0
191,1,44013.65625,571.0
192,1,44013.65972222222,577.0
193,1,44013.663194444445,624.0
194,1,44013.666666666664,640.0
195,1,44013.67013888889,642.0
196,1,44013.67361111111,652.0
197,1,44013.677083333336,655.0
198,1,44013.680555555555,677.0
199,1,44013.68402777778,716.0
200,1,44013.6875,760.0
201,1,44013.69097222222,797.0
202,1,44013.694444444445,797.0
203,1,44013.697916666664,758.0
204,1,44013.70138888889,710.0
205,1,44013.70486111111,640.0
206,1,44013.708333333336,531.0
207,1,44013.711805555555,550.0
208,1,44013.71527777778,605.0
209,1,44013.71875,607.0
210,1,44013.72222222222,584.0
211,1,44013.725694444445,609.0
212,1,44013.729166666664,664.0
213,1,44013.73263888889,729.0
214,1,44013.73611111111,800.0
215,1,44013.739583333336,856.0
216,1,44013.743055555555,912.0
217,1,44013.74652777778,981.0
218,1,44013.75,989.0
219,1,44013.75347222222,1017.0
220,1,44013.756944444445,1087.0
221,1,44013.760416666664,1123.0
222,1,44013.76388888889,1129.0
223,1,44013.76736111111,1062.0
224,1,44013.770833333336,1069.0
225,1,44013.774305555555,1133.0
226,1,44013.77777777778,1134.0
227,1,44013.78125,1060.0
228,1,44013.78472222222,1005.0
229,1,44013.788194444445,979.0
230,1,44013.791666666664,902.0
231,1,44013.79513888889,903.0
232,1,44013.79861111111,903.0
233,1,44013.802083333336,932.0
234,1,44013.805555555555,971.0
235,1,44013.80902777778,971.0
236,1,44013.8125,837.0
237,1,44013.81597222222,771.0
238,1,44013.819444444445,804.0
239,1,44013.822916666664,804.0
240,1,44013.82638888889,644.0
241,1,44013.82986111111,506.0
242,1,44013.833333333336,506.0
243,1,44013.836805555555,478.0
244,1,44013.84027777778,440.0
245,1,44013.84375,440.0
246,1,44013.84722222222,416.0
247,1,44013.850694444445,399.0
248,1,44013.854166666664,399.0
249,1,44013.85763888889,399.0
250,1,44013.86111111111,334.0
251,1,44013.864583333336,157.0
252,1,44013.868055555555,24.0
253,1,44013.87152777778,20.0
254,1,44013.875,20.0
255,1,44013.87847222222,8.0
