ResultsFK,Time,TStartWait,_ImmigrationType
1,44013.854166666664,0,Automatic
1,44013.854166666664,0,Normal
1,44013.85763888889,0,Automatic
1,44013.85763888889,0,Normal
1,44013.86111111111,0,Automatic
1,44013.86111111111,0,Normal
1,44013.864583333336,0,Automatic
1,44013.864583333336,0,Normal
1,44013.868055555555,0,Automatic
1,44013.868055555555,0,Normal
1,44013.87152777778,0,Automatic
1,44013.87152777778,0,Normal
1,44013.875,0,Automatic
1,44013.875,0,Normal
1,44013.87847222222,0,Automatic
1,44013.87847222222,0,Normal
1,44013.881944444445,0,Automatic
1,44013.881944444445,0,Normal
1,44013.885416666664,0,Automatic
1,44013.885416666664,0,Normal
1,44013.88888888889,0,Automatic
1,44013.88888888889,0,Normal
1,44013.89236111111,0,Automatic
1,44013.89236111111,0,Normal
1,44013.895833333336,0,Automatic
1,44013.895833333336,0,Normal
1,44013.899305555555,0,Automatic
1,44013.899305555555,0,Normal
1,44013.90277777778,27,Automatic
1,44013.90277777778,93,Normal
1,44013.90625,27,Automatic
1,44013.90625,93,Normal
1,44013.90972222222,27,Automatic
1,44013.90972222222,93,Normal
1,44013.913194444445,27,Automatic
1,44013.913194444445,93,Normal
1,44013.916666666664,27,Automatic
1,44013.916666666664,93,Normal
1,44013.92013888889,27,Automatic
1,44013.92013888889,93,Normal
1,44013.92361111111,27,Automatic
1,44013.92361111111,93,Normal
1,44013.927083333336,27,Automatic
1,44013.927083333336,93,Normal
1,44013.930555555555,27,Automatic
1,44013.930555555555,93,Normal
1,44013.93402777778,27,Automatic
1,44013.93402777778,93,Normal
1,44013.9375,27,Automatic
1,44013.9375,93,Normal
1,44013.94097222222,27,Automatic
1,44013.94097222222,93,Normal
