,ResultsFK,Time,Time_1,FacilityStates
320,1,44013.54513888889,6,In Use
321,1,44013.54513888889,3,Closed
322,1,44013.54861111111,7,In Use
323,1,44013.54861111111,2,Closed
324,1,44013.552083333336,7,In Use
325,1,44013.552083333336,2,Closed
326,1,44013.555555555555,8,In Use
327,1,44013.555555555555,1,Closed
328,1,44013.55902777778,8,In Use
329,1,44013.55902777778,1,Closed
330,1,44013.5625,9,In Use
331,1,44013.5625,0,Closed
332,1,44013.56597222222,9,In Use
333,1,44013.56597222222,0,Closed
334,1,44013.569444444445,9,In Use
335,1,44013.569444444445,0,Closed
336,1,44013.572916666664,9,In Use
337,1,44013.572916666664,0,Closed
338,1,44013.57638888889,9,In Use
339,1,44013.57638888889,0,Closed
340,1,44013.57986111111,8,In Use
341,1,44013.57986111111,1,Closed
342,1,44013.583333333336,6,In Use
343,1,44013.583333333336,3,Closed
344,1,44013.586805555555,6,In Use
345,1,44013.586805555555,3,Closed
346,1,44013.59027777778,6,In Use
347,1,44013.59027777778,3,Closed
348,1,44013.59375,6,In Use
349,1,44013.59375,3,Closed
350,1,44013.59722222222,6,In Use
351,1,44013.59722222222,3,Closed
352,1,44013.600694444445,3,In Use
353,1,44013.600694444445,6,Closed
354,1,44013.604166666664,3,In Use
355,1,44013.604166666664,6,Closed
356,1,44013.60763888889,3,In Use
357,1,44013.60763888889,6,Closed
358,1,44013.61111111111,3,In Use
359,1,44013.61111111111,6,Closed
360,1,44013.614583333336,3,In Use
361,1,44013.614583333336,6,Closed
362,1,44013.618055555555,3,In Use
363,1,44013.618055555555,6,Closed
364,1,44013.62152777778,3,In Use
365,1,44013.62152777778,6,Closed
366,1,44013.625,3,In Use
367,1,44013.625,6,Closed
368,1,44013.62847222222,3,In Use
369,1,44013.62847222222,6,Closed
370,1,44013.631944444445,3,In Use
371,1,44013.631944444445,6,Closed
372,1,44013.635416666664,4,In Use
373,1,44013.635416666664,5,Closed
374,1,44013.63888888889,4,In Use
375,1,44013.63888888889,5,Closed
376,1,44013.64236111111,4,In Use
377,1,44013.64236111111,5,Closed
378,1,44013.645833333336,4,In Use
379,1,44013.645833333336,5,Closed
380,1,44013.649305555555,4,In Use
381,1,44013.649305555555,5,Closed
382,1,44013.65277777778,5,In Use
383,1,44013.65277777778,4,Closed
384,1,44013.65625,5,In Use
385,1,44013.65625,4,Closed
386,1,44013.65972222222,5,In Use
387,1,44013.65972222222,4,Closed
388,1,44013.663194444445,5,In Use
389,1,44013.663194444445,4,Closed
390,1,44013.666666666664,5,In Use
391,1,44013.666666666664,4,Closed
392,1,44013.67013888889,3,In Use
393,1,44013.67013888889,6,Closed
394,1,44013.67361111111,3,In Use
395,1,44013.67361111111,6,Closed
396,1,44013.677083333336,3,In Use
397,1,44013.677083333336,6,Closed
398,1,44013.680555555555,3,In Use
399,1,44013.680555555555,6,Closed
400,1,44013.68402777778,4,In Use
401,1,44013.68402777778,5,Closed
402,1,44013.6875,4,In Use
403,1,44013.6875,5,Closed
404,1,44013.69097222222,4,In Use
405,1,44013.69097222222,5,Closed
406,1,44013.694444444445,4,In Use
407,1,44013.694444444445,5,Closed
408,1,44013.697916666664,4,In Use
409,1,44013.697916666664,5,Closed
410,1,44013.70138888889,4,In Use
411,1,44013.70138888889,5,Closed
412,1,44013.70486111111,5,In Use
413,1,44013.70486111111,4,Closed
414,1,44013.708333333336,5,In Use
415,1,44013.708333333336,4,Closed
416,1,44013.711805555555,5,In Use
417,1,44013.711805555555,4,Closed
418,1,44013.71527777778,5,In Use
419,1,44013.71527777778,4,Closed
420,1,44013.71875,6,In Use
421,1,44013.71875,3,Closed
422,1,44013.72222222222,6,In Use
423,1,44013.72222222222,3,Closed
424,1,44013.725694444445,6,In Use
425,1,44013.725694444445,3,Closed
426,1,44013.729166666664,7,In Use
427,1,44013.729166666664,2,Closed
428,1,44013.73263888889,7,In Use
429,1,44013.73263888889,2,Closed
430,1,44013.73611111111,7,In Use
431,1,44013.73611111111,2,Closed
432,1,44013.739583333336,7,In Use
433,1,44013.739583333336,2,Closed
434,1,44013.743055555555,7,In Use
435,1,44013.743055555555,2,Closed
436,1,44013.74652777778,7,In Use
437,1,44013.74652777778,2,Closed
438,1,44013.75,7,In Use
439,1,44013.75,2,Closed
440,1,44013.75347222222,7,In Use
441,1,44013.75347222222,2,Closed
442,1,44013.756944444445,7,In Use
443,1,44013.756944444445,2,Closed
444,1,44013.760416666664,7,In Use
445,1,44013.760416666664,2,Closed
446,1,44013.76388888889,7,In Use
447,1,44013.76388888889,2,Closed
448,1,44013.76736111111,7,In Use
449,1,44013.76736111111,2,Closed
450,1,44013.770833333336,7,In Use
451,1,44013.770833333336,2,Closed
452,1,44013.774305555555,6,In Use
453,1,44013.774305555555,3,Closed
454,1,44013.77777777778,6,In Use
455,1,44013.77777777778,3,Closed
456,1,44013.78125,6,In Use
457,1,44013.78125,3,Closed
458,1,44013.78472222222,6,In Use
459,1,44013.78472222222,3,Closed
460,1,44013.788194444445,6,In Use
461,1,44013.788194444445,3,Closed
462,1,44013.791666666664,4,In Use
463,1,44013.791666666664,5,Closed
464,1,44013.79513888889,4,In Use
465,1,44013.79513888889,5,Closed
466,1,44013.79861111111,4,In Use
467,1,44013.79861111111,5,Closed
468,1,44013.802083333336,4,In Use
469,1,44013.802083333336,5,Closed
470,1,44013.805555555555,4,In Use
471,1,44013.805555555555,5,Closed
472,1,44013.80902777778,3,In Use
473,1,44013.80902777778,6,Closed
474,1,44013.8125,3,In Use
475,1,44013.8125,6,Closed
476,1,44013.81597222222,3,In Use
477,1,44013.81597222222,6,Closed
478,1,44013.819444444445,3,In Use
479,1,44013.819444444445,6,Closed
480,1,44013.822916666664,3,In Use
481,1,44013.822916666664,6,Closed
482,1,44013.82638888889,2,In Use
483,1,44013.82638888889,7,Closed
484,1,44013.82986111111,1,In Use
485,1,44013.82986111111,8,Closed
486,1,44013.833333333336,0,In Use
487,1,44013.833333333336,9,Closed
