,ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID,_ImmigrationType
167,1,44013.118055555555,,,L0 Immigration Control 1_Normal_09,Normal
168,1,44013.12152777778,,,L0 Immigration Control 1_Automatic_2,Automatic
169,1,44013.12152777778,,,L0 Immigration Control 1_Normal_06,Normal
170,1,44013.12152777778,,,L0 Immigration Control 1_Normal_10,Normal
171,1,44013.12152777778,,,L0 Immigration Control 1_Normal_05,Normal
172,1,44013.12152777778,,,L0 Immigration Control 1_Normal_08,Normal
173,1,44013.12152777778,,,L0 Immigration Control 1_Normal_04,Normal
174,1,44013.12152777778,,,L0 Immigration Control 1_Automatic_1,Automatic
175,1,44013.12152777778,,,L0 Immigration Control 1_Normal_03,Normal
176,1,44013.12152777778,,,L0 Immigration Control 1_Normal_01,Normal
177,1,44013.12152777778,,,L0 Immigration Control 1_Normal_02,Normal
178,1,44013.12152777778,,,L0 Immigration Control 1_Normal_07,Normal
179,1,44013.12152777778,,,L0 Immigration Control 1_Normal_09,Normal
180,1,44013.125,,,L0 Immigration Control 1_Automatic_2,Automatic
181,1,44013.125,,,L0 Immigration Control 1_Normal_06,Normal
182,1,44013.125,,,L0 Immigration Control 1_Normal_10,Normal
183,1,44013.125,,,L0 Immigration Control 1_Normal_05,Normal
184,1,44013.125,,,L0 Immigration Control 1_Normal_08,Normal
185,1,44013.125,,,L0 Immigration Control 1_Normal_04,Normal
186,1,44013.125,,,L0 Immigration Control 1_Automatic_1,Automatic
187,1,44013.125,,,L0 Immigration Control 1_Normal_03,Normal
188,1,44013.125,,,L0 Immigration Control 1_Normal_01,Normal
189,1,44013.125,,,L0 Immigration Control 1_Normal_02,Normal
190,1,44013.125,,,L0 Immigration Control 1_Normal_07,Normal
191,1,44013.125,,,L0 Immigration Control 1_Normal_09,Normal
192,1,44013.12847222222,,,L0 Immigration Control 1_Automatic_2,Automatic
193,1,44013.12847222222,,,L0 Immigration Control 1_Normal_06,Normal
194,1,44013.12847222222,,,L0 Immigration Control 1_Normal_10,Normal
195,1,44013.12847222222,,,L0 Immigration Control 1_Normal_05,Normal
196,1,44013.12847222222,,,L0 Immigration Control 1_Normal_08,Normal
197,1,44013.12847222222,,,L0 Immigration Control 1_Normal_04,Normal
198,1,44013.12847222222,,,L0 Immigration Control 1_Automatic_1,Automatic
