ResultsFK,Time,TStartWait_TFinish,CustomColumnID_Assignments_T1_AssignmentBegin__CustomColumnID_Assignments_T2_AssignmentEnd_,BlockIDResourceID
1,44013.09722222222,,,L0 Security Control 1_Common Usage_8
1,44013.09722222222,,,L0 Security Control 1_Common Usage_3
1,44013.09722222222,,,L0 Security Control 1_Common Usage_6
1,44013.09722222222,,,L0 Security Control 1_Common Usage_2
1,44013.09722222222,,,L0 Security Control 1_Common Usage_4
1,44013.09722222222,,,L0 Security Control 1_Common Usage_1
1,44013.100694444445,4.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.100694444445,,,L0 Security Control 1_Common Usage_7
1,44013.100694444445,,,L0 Security Control 1_Common Usage_5
1,44013.100694444445,,,L0 Security Control 1_Common Usage_8
1,44013.100694444445,,,L0 Security Control 1_Common Usage_3
1,44013.100694444445,,,L0 Security Control 1_Common Usage_6
1,44013.100694444445,,,L0 Security Control 1_Common Usage_2
1,44013.100694444445,,,L0 Security Control 1_Common Usage_4
1,44013.100694444445,,,L0 Security Control 1_Common Usage_1
1,44013.104166666664,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.104166666664,,,L0 Security Control 1_Common Usage_7
1,44013.104166666664,,,L0 Security Control 1_Common Usage_5
1,44013.104166666664,,,L0 Security Control 1_Common Usage_8
1,44013.104166666664,,,L0 Security Control 1_Common Usage_3
1,44013.104166666664,,,L0 Security Control 1_Common Usage_6
1,44013.104166666664,,,L0 Security Control 1_Common Usage_2
1,44013.104166666664,,,L0 Security Control 1_Common Usage_4
1,44013.104166666664,,,L0 Security Control 1_Common Usage_1
1,44013.10763888889,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.10763888889,,,L0 Security Control 1_Common Usage_7
1,44013.10763888889,,,L0 Security Control 1_Common Usage_5
1,44013.10763888889,,,L0 Security Control 1_Common Usage_8
1,44013.10763888889,,,L0 Security Control 1_Common Usage_3
1,44013.10763888889,,,L0 Security Control 1_Common Usage_6
1,44013.10763888889,,,L0 Security Control 1_Common Usage_2
1,44013.10763888889,,,L0 Security Control 1_Common Usage_4
1,44013.10763888889,,,L0 Security Control 1_Common Usage_1
1,44013.11111111111,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.11111111111,,,L0 Security Control 1_Common Usage_7
1,44013.11111111111,,,L0 Security Control 1_Common Usage_5
1,44013.11111111111,,,L0 Security Control 1_Common Usage_8
1,44013.11111111111,,,L0 Security Control 1_Common Usage_3
1,44013.11111111111,,,L0 Security Control 1_Common Usage_6
1,44013.11111111111,,,L0 Security Control 1_Common Usage_2
1,44013.11111111111,,,L0 Security Control 1_Common Usage_4
1,44013.11111111111,,,L0 Security Control 1_Common Usage_1
1,44013.114583333336,2.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.114583333336,,,L0 Security Control 1_Common Usage_7
1,44013.114583333336,,,L0 Security Control 1_Common Usage_5
1,44013.114583333336,,,L0 Security Control 1_Common Usage_8
1,44013.114583333336,,,L0 Security Control 1_Common Usage_3
1,44013.114583333336,,,L0 Security Control 1_Common Usage_6
1,44013.114583333336,,,L0 Security Control 1_Common Usage_2
1,44013.114583333336,,,L0 Security Control 1_Common Usage_4
1,44013.114583333336,,,L0 Security Control 1_Common Usage_1
1,44013.118055555555,5.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.118055555555,,,L0 Security Control 1_Common Usage_7
1,44013.118055555555,,,L0 Security Control 1_Common Usage_5
1,44013.118055555555,,,L0 Security Control 1_Common Usage_8
1,44013.118055555555,,,L0 Security Control 1_Common Usage_3
1,44013.118055555555,,,L0 Security Control 1_Common Usage_6
1,44013.118055555555,,,L0 Security Control 1_Common Usage_2
1,44013.118055555555,,,L0 Security Control 1_Common Usage_4
1,44013.118055555555,,,L0 Security Control 1_Common Usage_1
1,44013.12152777778,8.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.12152777778,,,L0 Security Control 1_Common Usage_7
1,44013.12152777778,,,L0 Security Control 1_Common Usage_5
1,44013.12152777778,,,L0 Security Control 1_Common Usage_8
1,44013.12152777778,,,L0 Security Control 1_Common Usage_3
1,44013.12152777778,,,L0 Security Control 1_Common Usage_6
1,44013.12152777778,,,L0 Security Control 1_Common Usage_2
1,44013.12152777778,,,L0 Security Control 1_Common Usage_4
1,44013.12152777778,,,L0 Security Control 1_Common Usage_1
1,44013.125,8.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.125,,,L0 Security Control 1_Common Usage_7
1,44013.125,,,L0 Security Control 1_Common Usage_5
1,44013.125,8.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.125,,,L0 Security Control 1_Common Usage_3
1,44013.125,,,L0 Security Control 1_Common Usage_6
1,44013.125,,,L0 Security Control 1_Common Usage_2
1,44013.125,,,L0 Security Control 1_Common Usage_4
1,44013.125,,,L0 Security Control 1_Common Usage_1
1,44013.12847222222,7.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.12847222222,,,L0 Security Control 1_Common Usage_7
1,44013.12847222222,,,L0 Security Control 1_Common Usage_5
1,44013.12847222222,8.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.12847222222,,,L0 Security Control 1_Common Usage_3
1,44013.12847222222,,,L0 Security Control 1_Common Usage_6
1,44013.12847222222,,,L0 Security Control 1_Common Usage_2
1,44013.12847222222,,,L0 Security Control 1_Common Usage_4
1,44013.12847222222,,,L0 Security Control 1_Common Usage_1
1,44013.131944444445,6.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.131944444445,,,L0 Security Control 1_Common Usage_7
1,44013.131944444445,,,L0 Security Control 1_Common Usage_5
1,44013.131944444445,6.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.131944444445,,,L0 Security Control 1_Common Usage_3
1,44013.131944444445,,,L0 Security Control 1_Common Usage_6
1,44013.131944444445,,,L0 Security Control 1_Common Usage_2
1,44013.131944444445,,,L0 Security Control 1_Common Usage_4
1,44013.131944444445,,,L0 Security Control 1_Common Usage_1
1,44013.135416666664,7.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.135416666664,,,L0 Security Control 1_Common Usage_7
1,44013.135416666664,,,L0 Security Control 1_Common Usage_5
1,44013.135416666664,8.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.135416666664,,,L0 Security Control 1_Common Usage_3
1,44013.135416666664,,,L0 Security Control 1_Common Usage_6
1,44013.135416666664,,,L0 Security Control 1_Common Usage_2
1,44013.135416666664,,,L0 Security Control 1_Common Usage_4
1,44013.135416666664,,,L0 Security Control 1_Common Usage_1
1,44013.13888888889,13.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.13888888889,,,L0 Security Control 1_Common Usage_7
1,44013.13888888889,,,L0 Security Control 1_Common Usage_5
1,44013.13888888889,13.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.13888888889,,,L0 Security Control 1_Common Usage_3
1,44013.13888888889,,,L0 Security Control 1_Common Usage_6
1,44013.13888888889,,,L0 Security Control 1_Common Usage_2
1,44013.13888888889,,,L0 Security Control 1_Common Usage_4
1,44013.13888888889,,,L0 Security Control 1_Common Usage_1
1,44013.14236111111,13.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.14236111111,,,L0 Security Control 1_Common Usage_7
1,44013.14236111111,,,L0 Security Control 1_Common Usage_5
1,44013.14236111111,13.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.14236111111,,,L0 Security Control 1_Common Usage_3
1,44013.14236111111,,,L0 Security Control 1_Common Usage_6
1,44013.14236111111,,,L0 Security Control 1_Common Usage_2
1,44013.14236111111,,,L0 Security Control 1_Common Usage_4
1,44013.14236111111,,,L0 Security Control 1_Common Usage_1
1,44013.145833333336,13.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.145833333336,12.0,344.0,L0 Security Control 1_Common Usage_7
1,44013.145833333336,,,L0 Security Control 1_Common Usage_5
1,44013.145833333336,12.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.145833333336,,,L0 Security Control 1_Common Usage_3
1,44013.145833333336,,,L0 Security Control 1_Common Usage_6
1,44013.145833333336,,,L0 Security Control 1_Common Usage_2
1,44013.145833333336,,,L0 Security Control 1_Common Usage_4
1,44013.145833333336,,,L0 Security Control 1_Common Usage_1
1,44013.149305555555,12.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.149305555555,12.0,344.0,L0 Security Control 1_Common Usage_7
1,44013.149305555555,,,L0 Security Control 1_Common Usage_5
1,44013.149305555555,11.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.149305555555,,,L0 Security Control 1_Common Usage_3
1,44013.149305555555,,,L0 Security Control 1_Common Usage_6
1,44013.149305555555,,,L0 Security Control 1_Common Usage_2
1,44013.149305555555,,,L0 Security Control 1_Common Usage_4
1,44013.149305555555,,,L0 Security Control 1_Common Usage_1
1,44013.15277777778,15.0,2268.0,L0 Security Control 1_Common Usage_9
1,44013.15277777778,15.0,344.0,L0 Security Control 1_Common Usage_7
1,44013.15277777778,,,L0 Security Control 1_Common Usage_5
1,44013.15277777778,15.0,403.0,L0 Security Control 1_Common Usage_8
1,44013.15277777778,,,L0 Security Control 1_Common Usage_3
1,44013.15277777778,,,L0 Security Control 1_Common Usage_6
1,44013.15277777778,,,L0 Security Control 1_Common Usage_2
1,44013.15277777778,,,L0 Security Control 1_Common Usage_4
1,44013.15277777778,,,L0 Security Control 1_Common Usage_1
1,44013.15625,17.0,2268.0,L0 Security Control 1_Common Usage_9
