ResultsFK,Time,CustomColumnID_InboundFlight_PaxCount
1,44013.55902777778,752
1,44013.5625,862
1,44013.56597222222,862
1,44013.569444444445,862
1,44013.572916666664,846
1,44013.57638888889,1028
1,44013.57986111111,984
1,44013.583333333336,957
1,44013.586805555555,788
1,44013.59027777778,612
1,44013.59375,568
1,44013.59722222222,568
1,44013.600694444445,455
1,44013.604166666664,345
1,44013.60763888889,345
1,44013.61111111111,345
1,44013.614583333336,227
1,44013.618055555555,227
1,44013.62152777778,227
1,44013.625,182
1,44013.62847222222,182
1,44013.631944444445,296
1,44013.635416666664,296
1,44013.63888888889,296
1,44013.64236111111,405
1,44013.645833333336,476
1,44013.649305555555,476
1,44013.65277777778,476
1,44013.65625,621
1,44013.65972222222,439
1,44013.663194444445,439
1,44013.666666666664,467
1,44013.67013888889,467
1,44013.67361111111,504
1,44013.677083333336,593
1,44013.680555555555,593
1,44013.68402777778,484
1,44013.6875,462
1,44013.69097222222,462
1,44013.694444444445,462
1,44013.697916666664,317
1,44013.70138888889,317
1,44013.70486111111,610
1,44013.708333333336,582
1,44013.711805555555,582
1,44013.71527777778,504
1,44013.71875,415
1,44013.72222222222,629
1,44013.725694444445,629
1,44013.729166666664,806
1,44013.73263888889,840
1,44013.73611111111,840
1,44013.739583333336,840
1,44013.743055555555,1257
1,44013.74652777778,964
1,44013.75,964
1,44013.75347222222,964
1,44013.756944444445,1047
1,44013.760416666664,1047
1,44013.76388888889,833
1,44013.76736111111,833
1,44013.770833333336,789
1,44013.774305555555,755
1,44013.77777777778,755
1,44013.78125,755
1,44013.78472222222,338
1,44013.788194444445,549
1,44013.791666666664,549
1,44013.79513888889,660
1,44013.79861111111,504
1,44013.802083333336,553
1,44013.805555555555,553
1,44013.80902777778,701
1,44013.8125,586
1,44013.81597222222,586
1,44013.819444444445,586
1,44013.822916666664,586
1,44013.82638888889,586
1,44013.82986111111,375
1,44013.833333333336,375
1,44013.836805555555,264
1,44013.84027777778,264
1,44013.84375,215
1,44013.84722222222,309
1,44013.850694444445,161
1,44013.854166666664,94
1,44013.85763888889,94
1,44013.86111111111,94
1,44013.864583333336,94
1,44013.868055555555,94
1,44013.87152777778,94
1,44013.875,151
1,44013.87847222222,220
1,44013.881944444445,316
1,44013.885416666664,510
1,44013.88888888889,470
1,44013.89236111111,585
1,44013.895833333336,585
1,44013.899305555555,674
1,44013.90277777778,794
1,44013.90625,1081
1,44013.90972222222,1081
1,44013.913194444445,1081
1,44013.916666666664,1024
1,44013.92013888889,1097
1,44013.92361111111,1001
1,44013.927083333336,807
1,44013.930555555555,881
1,44013.93402777778,766
1,44013.9375,766
1,44013.94097222222,677
1,44013.944444444445,557
1,44013.947916666664,324
1,44013.95138888889,324
1,44013.95486111111,484
1,44013.958333333336,484
1,44013.961805555555,342
1,44013.96527777778,342
1,44013.96875,342
1,44013.97222222222,214
1,44013.975694444445,214
1,44013.979166666664,214
1,44013.98263888889,214
1,44013.98611111111,214
1,44013.989583333336,160
1,44013.993055555555,160
